Territori;year;price_per_m2_rent;total_rent_price;Tipus de territori;total_sale_price;price_per_m2_sale
Gràcia;2020;14,44;950,36;Districte;298943,29;3695,0
Horta-Guinardó;2020;12,78;799,32;Districte;196921,43;2657,33
Nou Barris;2020;11,72;705,51;Districte;142362,13;2098,32
Sant Andreu;2020;12,35;797,82;Districte;202562,2;2670,73
Sant Martí;2020;13,79;929,91;Districte;241027,74;3040,11
Barcelona;2021;13,21;918,84;Municipi;291944,04;3326,1
Ciutat Vella;2021;13,24;846,4;Districte;257566,41;3514,58
Eixample;2021;13,35;1007,57;Districte;376360,36;4033,66
Sants-Montjuïc;2021;12,97;799,69;Districte;222717,58;3112,4
Les Corts;2021;13,84;1054,14;Districte;428046,31;4000,79
Sarrià-Sant Gervasi;2021;14,86;1246,4;Districte;603100,48;4562,61
Gràcia;2021;13,81;896,35;Districte;294586,77;3717,25
Horta-Guinardó;2021;12,22;768,82;Districte;200798,34;2810,58
Nou Barris;2021;11,28;684,49;Districte;154077,29;2072,8
Sant Andreu;2021;11,73;764,07;Districte;216044,77;2746,76
Sant Martí;2021;13,31;888,34;Districte;249376,34;3096,09
Barcelona;2022;14,54;1026,86;Municipi;317640,77;3594,31
Ciutat Vella;2022;15,79;1008,35;Districte;253034,99;3750,28
Eixample;2022;14,93;1140,42;Districte;410076,59;4360,87
Sants-Montjuïc;2022;14,08;916,86;Districte;234303,51;3220,15
Les Corts;2022;15,23;1185,71;Districte;443308,56;4167,07
Sarrià-Sant Gervasi;2022;16,23;1384,06;Districte;665489,63;4804,44
Gràcia;2022;15,28;999,77;Districte;358030,45;3989,4
Horta-Guinardó;2022;13,1;819,71;Districte;214933,18;2896,98
Nou Barris;2022;12,08;730,36;Districte;166662,6;2478,16
Sant Andreu;2022;12,51;829,38;Districte;223058,87;2905,2
Sant Martí;2022;14,49;1000,16;Districte;290932,05;3493,8
Barcelona;2023;16,1;1136,4;Municipi;324469,29;3619,75
Ciutat Vella;2023;16,66;1079,01;Districte;244908,29;3749,11
Eixample;2023;16,51;1274,96;Districte;447374,39;4582,18
Sants-Montjuïc;2023;16,33;1032,2;Districte;242021,45;3304,58
Les Corts;2023;16,77;1294,2;Districte;459832,95;4259,74
Sarrià-Sant Gervasi;2023;18,24;1550,79;Districte;697085,8;5049,24
Gràcia;2023;16,88;1117,96;Districte;400812,81;4055,92
Horta-Guinardó;2023;14,48;915,9;Districte;208999,64;2832,58
Nou Barris;2023;13,26;796,81;Districte;158792,97;2352,94
Sant Andreu;2023;13,83;910,36;Districte;217903,71;2809,74
Sant Martí;2023;16,18;1101,75;Districte;277979,12;3378,45
Barcelona;2024;16,2;1156,22;Municipi;336801,65;3787,84
Ciutat Vella;2024;16,69;1071,96;Districte;250131,23;3656,76
Eixample;2024;16,73;1295,64;Districte;464560,98;4773,67
Sants-Montjuïc;2024;15,65;982,14;Districte;243523,21;3343,85
Les Corts;2024;17,58;1370,36;Districte;493310,69;4614,73
Sarrià-Sant Gervasi;2024;18,34;1624,23;Districte;723918,6;5165,03
Gràcia;2024;17,61;1162,82;Districte;360903,66;4255,41
Horta-Guinardó;2024;14,58;930,44;Districte;235297,91;3180,99
Nou Barris;2024;13,13;800,94;Districte;166267,01;2468,08
Sant Andreu;2024;13,71;927,41;Districte;228498,52;2961,37
Sant Martí;2024;16,37;1105,57;Districte;288648,55;3598,08
