location,price,size,rooms,price/m2,bathrooms,type,region
Abrera,413000,280,4,1475.0,4,Piso,baix_llobregat
Abrera,330000,225,4,1466.67,3,Casa,baix_llobregat
Abrera,289000,223,5,1295.96,3,Casa,baix_llobregat
Abrera,126000,75,4,1680.0,2,Piso,baix_llobregat
Abrera,370000,223,3,1659.19,3,Casa,baix_llobregat
Abrera,477000,237,4,2012.66,3,Piso,baix_llobregat
Abrera,260890,155,4,1683.16,2,Piso,baix_llobregat
Abrera,110000,50,2,2200.0,1,Casa,baix_llobregat
Abrera,280000,274,4,1021.9,4,Piso,baix_llobregat
Abrera,381000,292,5,1304.79,2,Piso,baix_llobregat
Abrera,188000,184,5,1021.74,1,Casa,baix_llobregat
Abrera,355000,222,5,1599.1,2,Casa,baix_llobregat
Abrera,189000,69,2,2739.13,1,Piso,baix_llobregat
Abrera,369000,394,5,936.55,3,Piso,baix_llobregat
Abrera,240000,135,4,1777.78,2,Piso,baix_llobregat
Abrera,219000,110,3,1990.91,1,Piso,baix_llobregat
Abrera,369000,390,5,946.15,4,Piso,baix_llobregat
Abrera,453200,413,5,1097.34,4,Casa,baix_llobregat
Abrera,355000,222,5,1599.1,2,Piso,baix_llobregat
Abrera,350000,230,6,1521.74,4,Casa,baix_llobregat
Abrera,297000,360,3,825.0,2,Piso,barcelona
Abrera,549000,336,5,1633.93,4,Casa,baix_llobregat
Abrera,350000,230,6,1521.74,4,Piso,baix_llobregat_nord
Abrera,549000,336,5,1633.93,4,Piso,baix_llobregat_nord
Abrera,180000,73,3,2465.75,1,Piso,baix_llobregat_nord
Abrera,110000,50,2,2200.0,1,Piso,baix_llobregat
Abrera,380000,343,5,1107.87,2,Casa,barcelona
Abrera,289000,223,5,1295.96,3,Piso,baix_llobregat_nord
Abrera,210000,131,3,1603.05,2,Piso,baix_llobregat_nord
Abrera,180000,80,3,2250.0,1,Piso,baix_llobregat
Abrera,210000,87,3,2413.79,2,Piso,baix_llobregat
Abrera,583275,300,5,1944.25,4,Piso,baix_llobregat
Abrera,370000,223,3,1659.19,3,Piso,baix_llobregat
