Territori,Tipus de territori,year,total_sale_price,price_per_m2
Sants - Badal,Barri,2021,207345.39,3021.15
Sants,Barri,2021,237670.27,3312.96
Les Corts,Districte,2021,428046.31,4000.79
les Corts,Barri,2021,379723.12,4061.50
la Maternitat i Sant Ramon,Barri,2021,320976.44,3516.43
Pedralbes,Barri,2021,789143.35,4786.75
Sarrià-Sant Gervasi,Districte,2021,603100.48,4562.61
"Vallvidrera,el Tibidabo i les Planes",Barri,2021,432339.48,2712.53
Sarrià,Barri,2021,554977.30,4814.56
les Tres Torres,Barri,2021,773348.83,4489.77
Sant Gervasi - la Bonanova,Barri,2021,575177.50,4368.56
Sant Gervasi - Galvany,Barri,2021,710808.54,4845.78
el Putxet i el Farró,Barri,2021,385214.93,4166.80
Gràcia,Districte,2021,294586.77,3717.25
Vallcarca i els Penitents,Barri,2021,303111.13,3449.74
el Coll,Barri,2021,204924.85,2546.63
la Salut,Barri,2021,297166.95,3555.49
la Vila de Gràcia,Barri,2021,298307.90,3924.24
el Camp d'en Grassot i Gràcia Nova,Barri,2021,306343.47,3921.12
Horta-Guinardó,Districte,2021,200798.34,2810.58
el Baix Guinardó,Barri,2021,250102.77,3399.91
Can Baró,Barri,2021,223701.84,3089.66
el Guinardó,Barri,2021,219640.46,3046.22
la Font d'en Fargues,Barri,2021,280323.85,3415.24
el Carmel,Barri,2021,143269.61,2213.26
la Teixonera,Barri,2021,154514.67,2298.85
Sant Genís dels Agudells,Barri,2021,195870,2257.40
Montbau,Barri,2021,158298.82,2428.67
la Vall d'Hebron,Barri,2021,236542.09,3442.85
la Clota,Barri,2021,,
Horta,Barri,2021,191527.77,2678.20
Nou Barris,Districte,2021,154077.29,2072.80
Vilapicina i la Torre Llobeta,Barri,2021,224350.69,2843.18
Porta,Barri,2021,211879.31,2697.23
el Turó de la Peira,Barri,2021,139330.53,2097.37
Can Peguera,Barri,2021,,
la Guineueta,Barri,2021,229164.99,2364.07
Canyelles,Barri,2021,173470.15,1988.82
les Roquetes,Barri,2021,108595.81,1845.29
Verdun,Barri,2021,134538.50,2061.28
la Prosperitat,Barri,2021,154172.18,2295.90
la Trinitat Nova,Barri,2021,102188.33,1757.04
Torre Baró,Barri,2021,91995.34,830.02
Ciutat Meridiana,Barri,2021,97695.25,1603.77
Vallbona,Barri,2021,,
Sant Andreu Districte,,2021,216044.77,2746.76
la Trinitat Vella,Barri,2021,127700.24,1509.02
Baró de Viver,Barri,2021,120205.98,1412.40
el Bon Pastor,Barri,2021,148634.41,2080.99
Sant Andreu (Barri),,2021,236171.45,3049.72
la Sagrera,Barri,2021,217785.59,2897.66
el Congrés i els Indians,Barri,2021,215587.29,2784.86
Navas,Barri,2021,268993.85,3011.44
Sant Martí,Districte,2021,249376.34,3096.09
el Camp de l'Arpa del Clot,Barri,2021,234527.82,3182.46
el Clot,Barri,2021,239269.39,3162.73
el Parc i la Llacuna del Poblenou,Barri,2021,323375.94,3751.56
la Vila Olímpica del Poblenou,Barri,2021,439063.48,4180.47
el Poblenou,Barri,2021,302402.23,3940.33
Diagonal Mar i el Front Marítim del Poblenou,Barri,2021,373194.84,3889.19
el Besòs i el Maresme,Barri,2021,195985.46,2331.19
Provençals del Poblenou,Barri,2021,227682.18,2864.59
Sant Martí de Provençals,Barri,2021,200743.35,2603.21
la Verneda i la Pau,Barri,2021,175160.66,2201.93
Barcelona,Municipi,2022,317640.77,3594.31
Ciutat Vella,Districte,2022,253034.99,3750.28
el Raval,Barri,2022,202903.57,3172.61
el Barri Gòtic,Barri,2022,360511.89,4358.90
la Barceloneta,Barri,2022,193524.98,4032.78
"Sant Pere,Santa Caterina i la Ribera",Barri,2022,291511.77,4057.40
Eixample,Districte,2022,410076.59,4360.87
el Fort Pienc,Barri,2022,356564.51,3938.31
la Sagrada Família,Barri,2022,296183.36,3835.55
la Dreta de l'Eixample,Barri,2022,657909.70,5351.00
l'Antiga Esquerra de l'Eixample,Barri,2022,471973.23,4634.35
la Nova Esquerra de l'Eixample,Barri,2022,338046.76,4125.76
Sant Antoni,Barri,2022,322840.80,4152.82
Sants-Montjuïc,Districte,2022,234303.51,3220.15
el Poble Sec - AEI Parc de Montjuïc,Barri,2022,228227.26,3496.13
la Marina del Prat Vermell - AEI Zona Franca,Barri,2022,105905.55,1143.33
la Marina de Port,Barri,2022,196517.44,2345.74
la Font de la Guatlla,Barri,2022,241533.34,3218.76
Hostafrancs,Barri,2022,244358.11,3399.71
la Bordeta,Barri,2022,222142.98,3019.47
Sants - Badal,Barri,2022,248941.19,3242.97
Sants,Barri,2022,263403.39,3609.65
Les Corts,Districte,2022,443308.56,4167.07
les Corts,Barri,2022,385633.22,4248.98
la Maternitat i Sant Ramon,Barri,2022,340193.89,3722.27
Pedralbes,Barri,2022,815293.30,4621.24
Sarrià-Sant Gervasi,Districte,2022,665489.63,4804.44
"Vallvidrera,el Tibidabo i les Planes",Barri,2022,399965.55,2949.40
Sarrià,Barri,2022,650058.22,5286.06
les Tres Torres,Barri,2022,911354.42,5017.07
Sant Gervasi - la Bonanova,Barri,2022,638122.76,4509.95
Sant Gervasi - Galvany,Barri,2022,739387.65,4990.48
el Putxet i el Farró,Barri,2022,451465.67,4364.77
Gràcia,Districte,2022,358030.45,3989.40
Vallcarca i els Penitents,Barri,2022,296533.75,3505.28
el Coll,Barri,2022,249673.77,3217.79
la Salut,Barri,2022,297630.53,3667.54
la Vila de Gràcia,Barri,2022,430515.89,4352.03
el Camp d'en Grassot i Gràcia Nova,Barri,2022,321749.74,3948.18
Horta-Guinardó,Districte,2022,214933.18,2896.98
el Baix Guinardó,Barri,2022,250378.70,3363.54
Can Baró,Barri,2022,216250.82,2989.24
el Guinardó,Barri,2022,261550.84,3277.05
la Font d'en Fargues,Barri,2022,269665.86,2940.82
el Carmel,Barri,2022,148520.77,2250.41
la Teixonera,Barri,2022,189367.76,2619.92
Sant Genís dels Agudells,Barri,2022,171253.68,2355.93
Montbau,Barri,2022,175858,2512.18
la Vall d'Hebron,Barri,2022,254101.15,3227.22
la Clota,Barri,2022,,
Horta,Barri,2022,192725.78,2802.95
Nou Barris,Districte,2022,166662.60,2478.16
Vilapicina i la Torre Llobeta,Barri,2022,210803.42,2830.71
Porta,Barri,2022,185695.55,2770.21
el Turó de la Peira,Barri,2022,156727.31,2313.94
Can Peguera,Barri,2022,141400,2264
la Guineueta,Barri,2022,214974.45,2680.56
Canyelles,Barri,2022,179004.68,2126.57
les Roquetes,Barri,2022,128337.15,2157.07
Verdun,Barri,2022,147196.62,2370.03
la Prosperitat,Barri,2022,170631.01,2656.79
la Trinitat Nova,Barri,2022,123947.48,2052.21
Torre Baró,Barri,2022,99261.93,1324.75
Ciutat Meridiana,Barri,2022,152367.17,2364.32
Vallbona,Barri,2022,130524.85,1331
Sant Andreu Districte,,2022,223058.87,2905.20
la Trinitat Vella,Barri,2022,145849.50,2236.97
Baró de Viver,Barri,2022,117140.71,1436.17
el Bon Pastor,Barri,2022,174576.14,2351.82
Sant Andreu (Barri),,2022,250685.24,3163.33
la Sagrera,Barri,2022,225465.89,3053.36
el Congrés i els Indians,Barri,2022,230342.35,2997.21
Navas,Barri,2022,244539.70,3059.22
Sant Martí,Districte,2022,290932.05,3493.80
el Camp de l'Arpa del Clot,Barri,2022,258821.68,3409.44
el Clot,Barri,2022,273223.35,3618.60
el Parc i la Llacuna del Poblenou,Barri,2022,436135.14,4123.83
la Vila Olímpica del Poblenou,Barri,2022,470669.89,4550.80
el Poblenou,Barri,2022,356292.89,4387.01
Diagonal Mar i el Front Marítim del Poblenou,Barri,2022,498537.57,5214.24
el Besòs i el Maresme,Barri,2022,199296.45,2735.28
Provençals del Poblenou,Barri,2022,252325.77,3205.60
Sant Martí de Provençals,Barri,2022,202651.25,2694.65
la Verneda i la Pau,Barri,2022,181098.78,2353.83
Barcelona,Municipi,2023,324469.29,3619.75
Ciutat Vella,Districte,2023,244908.29,3749.11
el Raval,Barri,2023,202318.11,3204.91
el Barri Gòtic,Barri,2023,327664.35,3946.86
la Barceloneta,Barri,2023,205486.57,4264.59
"Sant Pere,Santa Caterina i la Ribera",Barri,2023,287789.28,4212.73
Eixample,Districte,2023,447374.39,4582.18
el Fort Pienc,Barri,2023,342529.85,3933.92
la Sagrada Família,Barri,2023,305795.20,4125.33
la Dreta de l'Eixample,Barri,2023,718374.39,5522.94
l'Antiga Esquerra de l'Eixample,Barri,2023,496457.76,4885.64
la Nova Esquerra de l'Eixample,Barri,2023,357183.47,4296.73
Sant Antoni,Barri,2023,368729.60,4269.36
Sants-Montjuïc,Districte,2023,242021.45,3304.58
el Poble Sec - AEI Parc de Montjuïc,Barri,2023,240835.68,3663.73
la Marina del Prat Vermell - AEI Zona Franca,Barri,2023,,
la Marina de Port,Barri,2023,208792.64,2680.39
la Font de la Guatlla,Barri,2023,257958.01,3170.34
Hostafrancs,Barri,2023,221662.75,3159.78
la Bordeta,Barri,2023,270710.08,3162.24
Sants - Badal,Barri,2023,234022.86,3407.35
Sants,Barri,2023,265598.62,3650.88
Les Corts,Districte,2023,459832.95,4259.74
les Corts,Barri,2023,412945.41,4283.40
la Maternitat i Sant Ramon,Barri,2023,328531.69,3846.57
Pedralbes,Barri,2023,867128.45,4898.13
Sarrià-Sant Gervasi,Districte,2023,697085.80,5049.24
"Vallvidrera,el Tibidabo i les Planes",Barri,2023,343294.86,2804.11
Sarrià,Barri,2023,660043.16,5591.32
les Tres Torres,Barri,2023,839885.19,5336.44
Sant Gervasi - la Bonanova,Barri,2023,765139.81,5100.11
Sant Gervasi - Galvany,Barri,2023,771250.31,5253.60
el Putxet i el Farró,Barri,2023,480200.16,4179.08
Gràcia,Districte,2023,400812.81,4055.92
Vallcarca i els Penitents,Barri,2023,325263.52,3579.48
el Coll,Barri,2023,208135.48,2759.15
la Salut,Barri,2023,302103.34,3478.51
la Vila de Gràcia,Barri,2023,539972.44,4574.54
el Camp d'en Grassot i Gràcia Nova,Barri,2023,314648.84,4041.32
Horta-Guinardó,Districte,2023,208999.64,2832.58
el Baix Guinardó,Barri,2023,262196.06,3449.03
Can Baró,Barri,2023,192254.27,2734.36
el Guinardó,Barri,2023,243243.34,3141.92
la Font d'en Fargues,Barri,2023,287010.80,3081.14
el Carmel,Barri,2023,145766.66,2238.10
la Teixonera,Barri,2023,167167.60,2420.19
Sant Genís dels Agudells,Barri,2023,167676.47,2112.85
Montbau,Barri,2023,177367.65,2455.47
la Vall d'Hebron,Barri,2023,254611.30,3404.30
la Clota,Barri,2023,,
Horta,Barri,2023,208225.09,2920.80
Nou Barris,Districte,2023,158792.97,2352.94
Vilapicina i la Torre Llobeta,Barri,2023,221525.45,2969.36
Porta,Barri,2023,186818.52,2564.41
el Turó de la Peira,Barri,2023,165160.27,2488.58
Can Peguera,Barri,2023,227725.88,2832.33
la Guineueta,Barri,2023,184804.35,2421.75
Canyelles,Barri,2023,184952.20,2234.19
les Roquetes,Barri,2023,114012.04,1959.32
Verdun,Barri,2023,133261.88,2185
la Prosperitat,Barri,2023,155748.68,2441.06
la Trinitat Nova,Barri,2023,142417.56,2210.73
Torre Baró,Barri,2023,105330.68,1124.60
Ciutat Meridiana,Barri,2023,121010.52,1930.27
Vallbona,Barri,2023,115333.33,1115.17
Sant Andreu Districte,,2023,217903.71,2809.74
la Trinitat Vella,Barri,2023,126378.42,1815.32
Baró de Viver,Barri,2023,140762.70,1710.75
el Bon Pastor,Barri,2023,155546.32,2180.41
Sant Andreu (Barri),,2023,243255.95,3084.81
la Sagrera,Barri,2023,252630.38,3304.12
el Congrés i els Indians,Barri,2023,208143.91,2675.22
Navas,Barri,2023,252444.02,3081.91
Sant Martí,Districte,2023,277979.12,3378.45
el Camp de l'Arpa del Clot,Barri,2023,267039.49,3538.29
el Clot,Barri,2023,252070.95,3395.43
el Parc i la Llacuna del Poblenou,Barri,2023,379423.32,4053.21
la Vila Olímpica del Poblenou,Barri,2023,463996.72,4924.73
el Poblenou,Barri,2023,328249.95,4052.49
Diagonal Mar i el Front Marítim del Poblenou,Barri,2023,515689.10,5066.13
el Besòs i el Maresme,Barri,2023,190884.75,2418.33
Provençals del Poblenou,Barri,2023,258205.14,3209.31
Sant Martí de Provençals,Barri,2023,203776.13,2661.88
la Verneda i la Pau,Barri,2023,168844.89,2290.78
Barcelona,Municipi,2024,336801.65,3787.84
Ciutat Vella,Districte,2024,250131.23,3656.76
el Raval,Barri,2024,192309.66,3001.95
el Barri Gòtic,Barri,2024,424651.94,4529.33
la Barceloneta,Barri,2024,195437.47,4080.11
"Sant Pere,Santa Caterina i la Ribera",Barri,2024,280152.49,4137.34
Eixample,Districte,2024,464560.98,4773.67
el Fort Pienc,Barri,2024,369492.27,4151.51
la Sagrada Família,Barri,2024,333806.07,4352.09
la Dreta de l'Eixample,Barri,2024,739223.80,5858.58
l'Antiga Esquerra de l'Eixample,Barri,2024,529352.13,5207.06
la Nova Esquerra de l'Eixample,Barri,2024,377396.16,4430.51
Sant Antoni,Barri,2024,370558.97,4232.20
Sants-Montjuïc,Districte,2024,243523.21,3343.85
el Poble Sec - AEI Parc de Montjuïc,Barri,2024,242848.22,3732.26
la Marina del Prat Vermell - AEI Zona Franca,Barri,2024,255859.94,2673.15
la Marina de Port,Barri,2024,199824.35,2537.68
la Font de la Guatlla,Barri,2024,274155.98,3387.56
Hostafrancs,Barri,2024,264777.16,3647.78
la Bordeta,Barri,2024,241324.11,3198.95
Sants - Badal,Barri,2024,242588.18,3418.64
Sants,Barri,2024,264346.22,3621.58
Les Corts,Districte,2024,493310.69,4614.73
les Corts,Barri,2024,429348.78,4562.08
la Maternitat i Sant Ramon,Barri,2024,373013.78,4299.56
Pedralbes,Barri,2024,887836.76,5247.85
Sarrià-Sant Gervasi,Districte,2024,723918.60,5165.03
"Vallvidrera,el Tibidabo i les Planes",Barri,2024,437000,5589.22
Sarrià,Barri,2024,730668.05,6220.51
les Tres Torres,Barri,2024,917151.41,5004.25
Sant Gervasi - la Bonanova,Barri,2024,773385.62,5339.29
Sant Gervasi - Galvany,Barri,2024,795999.34,5087.68
el Putxet i el Farró,Barri,2024,457301.94,4536.61
Gràcia,Districte,2024,360903.66,4255.41
Vallcarca i els Penitents,Barri,2024,359527.62,3930.96
el Coll,Barri,2024,219921.10,2891.53
la Salut,Barri,2024,360404.11,3986.15
la Vila de Gràcia,Barri,2024,399968.63,4633.33
el Camp d'en Grassot i Gràcia Nova,Barri,2024,335485.64,4244.43
Horta-Guinardó,Districte,2024,235297.91,3180.99
el Baix Guinardó,Barri,2024,298449.66,3992.82
Can Baró,Barri,2024,196047.75,2832.04
el Guinardó,Barri,2024,283000.14,3493.83
la Font d'en Fargues,Barri,2024,259602.56,3417.26
el Carmel,Barri,2024,159395.30,2485.16
la Teixonera,Barri,2024,182359.58,2660.22
Sant Genís dels Agudells,Barri,2024,218954.21,3035.15
Montbau,Barri,2024,193076.92,2752.92
la Vall d'Hebron,Barri,2024,221258.07,3254.81
la Clota,Barri,2024,342453.30,3454.73
Horta,Barri,2024,245190.09,3320.71
Nou Barris,Districte,2024,166267.01,2468.08
Vilapicina i la Torre Llobeta,Barri,2024,243856.27,3275.51
Porta,Barri,2024,192307.06,2788.83
el Turó de la Peira,Barri,2024,157634.79,2406.38
Can Peguera,Barri,2024,,
la Guineueta,Barri,2024,207486.29,2613.42
Canyelles,Barri,2024,199538.10,2454.33
les Roquetes,Barri,2024,127016.73,2145.37
Verdun,Barri,2024,152106.48,2402.81
la Prosperitat,Barri,2024,166291.87,2575.01
la Trinitat Nova,Barri,2024,125349.84,2117.73
Torre Baró,Barri,2024,115564.97,1313.13
Ciutat Meridiana,Barri,2024,101346.92,1644.55
Vallbona,Barri,2024,,
Sant Andreu Districte,,2024,228498.52,2961.37
la Trinitat Vella,Barri,2024,144687.38,2080.15
Baró de Viver,Barri,2024,133307.03,1643.94
el Bon Pastor,Barri,2024,176290.33,2317.25
Sant Andreu (Barri),,2024,253371.45,3277.69
la Sagrera,Barri,2024,238581.82,3193.05
el Congrés i els Indians,Barri,2024,244298.10,3072.20
Navas,Barri,2024,274816.81,3370.53
Sant Martí,Districte,2024,288648.55,3598.08
el Camp de l'Arpa del Clot,Barri,2024,274108.58,3614.33
el Clot,Barri,2024,276729.11,3561.05
el Parc i la Llacuna del Poblenou,Barri,2024,377445.16,4364.51
la Vila Olímpica del Poblenou,Barri,2024,498663.88,4951.29
el Poblenou,Barri,2024,349034.46,4585.12
Diagonal Mar i el Front Marítim del Poblenou,Barri,2024,545622.08,5362.66
el Besòs i el Maresme,Barri,2024,169510.67,2535.45
Provençals del Poblenou,Barri,2024,274547.82,3435.45
Sant Martí de Provençals,Barri,2024,231868.80,2914.58
la Verneda i la Pau,Barri,2024,187362.85,2407.41
