Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
la Marina de Port,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.99,8.36,8.87,10.36,10.58,10.83,11.15,10.71,10.60,12.58,11.98
la Font de la Guatlla,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.62,11.33,12.05,13.03,12.37,12.84,13.32,12.75,14.06,15.82,15.97
Hostafrancs,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.27,11.12,12.16,12.91,13.54,13.83,13.96,13.14,14.24,15.81,15.67
la Bordeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.31,9.84,10.82,11.94,12.15,12.76,12.98,12.34,13.42,21.06,18.39
Sants - Badal,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.94,10.74,11.75,13.15,13.04,13.82,13.83,13.17,14.44,15.68,16.30
Sants,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.07,10.99,11.89,13.18,13.15,13.84,13.86,13.12,14.18,15.76,16.21
Les Corts,Districte,7.59,8.64,8.90,9.34,9.96,10.78,11.85,13.01,13.38,12.91,12.31,12.12,11.62,11.18,11.01,11.97,13.17,14.22,14.52,14.95,14.67,13.84,15.23,16.77,17.58
les Corts,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.07,11.85,13.04,14.33,14.84,15.05,14.86,14.06,15.44,17.08,17.52
la Maternitat i Sant Ramon,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.38,11.42,12.91,13.37,13.59,14.45,13.97,12.98,14.78,15.76,16.83
Pedralbes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.33,14.15,14.65,16.21,15.35,15.69,15.47,15.06,15.25,17.48,19.40
Sarrià-Sant Gervasi,Districte,7.40,8.24,9.06,9.35,10.00,10.85,11.63,12.71,13.29,12.85,12.81,12.79,12.27,11.72,11.86,12.96,14.31,15.43,15.44,15.71,15.59,14.86,16.23,18.24,18.34
"Vallvidrera, el Tibidabo i les Planes",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.60,12.10,15.08,16.58,11.93,13.86,12.47,15.33,13.56,14.12,15.79
Sarrià,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.59,14.54,15.94,17.51,17.25,16.87,16.98,15.90,18.19,19.52,18.99
les Tres Torres,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.52,13.97,15.64,16.88,16.43,17.05,16.52,15.74,17.90,19.42,19.68
Sant Gervasi - la Bonanova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.55,12.82,14.22,15.38,16.10,16.04,15.31,15.13,15.83,17.82,17.88
Sant Gervasi - Galvany,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.69,12.73,13.78,14.61,14.79,15.28,15.32,14.53,15.73,18.42,18.88
el Putxet i el Farró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.01,12.33,13.73,14.88,14.62,15.03,15.09,14.27,15.82,17.29,17.11
Gràcia,Districte,6.32,7.04,8.08,8.41,9.27,10.18,11.26,12.45,13.02,12.81,12.57,12.03,11.39,10.95,10.77,11.82,12.95,14.25,14.04,14.63,14.44,13.81,15.28,16.88,17.61
Vallcarca i els Penitents,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.26,11.55,12.65,14.11,13.61,14.04,14.37,13.73,14.73,16.78,17.89
el Coll,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.52,9.90,11.23,12.45,12.17,12.72,12.23,12.71,12.95,14.42,14.81
la Salut,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.97,11.28,12.11,12.34,12.84,13.15,13.64,12.58,13.51,15.34,16.43
la Vila de Gràcia,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.25,12.30,13.50,15.01,14.60,15.10,14.91,14.13,15.96,17.48,17.96
el Camp d'en Grassot i Gràcia Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.36,11.33,12.48,13.57,13.82,14.73,14.08,13.73,15.14,16.69,17.71
