Territori,Tipus de territori,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
el Poble Sec - AEI Parc de Montjuic,Barri,2116.41,1805.08,1753.90,2160.25,2587.60,3212.48,3501.62,3579.51,3331.30,3273.84,3496.13,3663.73,3732.26
la Marina del Prat Vermell - AEI Zona Franca,Barri,,,557.33,1436.33,1100,1465.40,1214,943.43,1407.43,1081.33,1143.33,,2673.15
la Marina de Port,Barri,1522.82,1601.09,1518.02,2046.25,1982.96,2112.23,2388.17,2639.68,2279.47,2490.59,2345.74,2680.39,2537.68
la Font de la Guatlla,Barri,1947.69,1919.20,2028.79,2218.51,2247.74,2854.11,2977.27,3160.90,3245,3448.01,3218.76,3170.34,3387.56
Hostafrancs,Barri,2450.70,1374.09,1956.09,2053.58,2229.53,2740.51,3256.35,3053.97,3349.18,3352.76,3399.71,3159.78,3647.78
la Bordeta,Barri,2017.44,1714.76,1794.01,2175.22,2054.92,2585.38,3048.29,3193.01,2983.34,3047.22,3019.47,3162.24,3198.95
Sants - Badal,Barri,1932.69,1732.83,1953.81,2079.78,2401.72,2692.30,2991.05,2951.02,3117.09,3021.15,3242.97,3407.35,3418.64
Sants,Barri,2051.12,1906.65,2115.02,2349.03,2512.32,3077.75,3417.85,3165.68,3364.61,3312.96,3609.65,3650.88,3621.58
Les Corts,Districte,2973.55,2856.93,2981.29,3076.46,3283.75,3840.82,4204.24,3979.67,4105.19,4000.79,4167.07,4259.74,4614.73
les Corts,Barri,2913.86,2814.77,2846.48,2913.00,3449.65,3852.36,4203.22,3970.28,4140.62,4061.50,4248.98,4283.40,4562.08
la Maternitat i Sant Ramon,Barri,2373.04,2387.89,2560.53,2952.62,2894.44,3329.56,3819.74,3412.72,3579.33,3516.43,3722.27,3846.57,4299.56
Pedralbes,Barri,4047.15,3530.38,3914.31,3892.90,3348.79,4643.59,5106.93,4936.77,4770.92,4786.75,4621.24,4898.13,5247.85
Sarria - Sant Gervasi,Districte,3339.36,3104.64,3108.13,3508.59,3749.52,4310.40,4710.31,4473.91,4387.83,4562.61,4804.44,5049.24,5165.03
Vallvidrera el Tibidabo i les Planes,Barri,2488.67,2125.86,2160.21,,3496,2686.40,3447.89,2885.10,3260.14,2712.53,2949.40,2804.11,5589.22
Sarria,Barri,4053.18,3524.51,3450.44,3785.28,4010.27,4691.44,5240.45,4860.73,4964.38,4814.56,5286.06,5591.32,6220.51
les Tres Torres,Barri,3373.73,3561.55,3569.28,4049.57,4292.17,4644.35,4944.78,4415.33,4258.73,4489.77,5017.07,5336.44,5004.25
Sant Gervasi - la Bonanova,Barri,3024.25,3135.39,3126.69,3501.57,3518.41,4253.12,4724.87,4650.19,4241.03,4368.56,4509.95,5100.11,5339.29
Sant Gervasi - Galvany,Barri,3522.92,3054.47,3075.08,3604.17,4011.49,4463.13,4805.13,4571.69,4642.24,4845.78,4990.48,5253.60,5087.68
el Putxet i el Farro,Barri,2966.17,2581.56,2630.58,2867.40,3057.24,3860.43,4140.60,4000.22,3730.63,4166.80,4364.77,4179.08,4536.61
Gracia,Districte,2589.84,2369.04,2374.33,2574.77,2928.47,3444.97,3823.52,3734.44,3695.00,3717.25,3989.40,4055.92,4255.41
Vallcarca i els Penitents,Barri,2526.38,2426.03,2267.56,2539.28,2815.87,3031.77,3274.55,3206.03,3428.57,3449.74,3505.28,3579.48,3930.96
el Coll,Barri,1656.14,1946.08,1788.03,2021.80,1975.10,2207.14,2608.24,2686.73,3066.07,2546.63,3217.79,2759.15,2891.53
la Salut,Barri,2668.06,2406,2246.23,2543.46,2718.75,3293.11,3366.56,3487.57,3268.30,3555.49,3667.54,3478.51,3986.15
la Vila de Gracia,Barri,2662.76,2424.93,2479.48,2615.30,3124.88,3757.83,4038.73,4063.58,3950.37,3924.24,4352.03,4574.54,4633.33
el Camp d en Grassot i Gracia Nova,Barri,2598.18,2350.13,2406.20,2640.42,3005.89,3455.11,4112.16,3884.49,3642.51,3921.12,3948.18,4041.32,4244.43
Horta - Guinardo,Districte,2214.76,1769.59,1776.13,2069.91,2037.88,2464.15,2690.09,2647.63,2657.33,2810.58,2896.98,2832.58,3180.99
el Baix Guinardo,Barri,2772.96,1962.13,2117.62,2444.70,2564.11,3064.68,3580.61,3194.48,3201.27,3399.91,3363.54,3449.03,3992.82
Can Baro,Barri,2279.90,1357.80,1762.54,1826.57,2016.38,2453.77,2653.93,2679.32,2727.71,3089.66,2989.24,2734.36,2832.04
el Guinardo,Barri,2152.11,1886.71,1835.60,2131.89,2241.85,2616.78,2731.80,3005.39,2888.40,3046.22,3277.05,3141.92,3493.83
la Font d en Fargues,Barri,2246.18,2585.21,2118.81,2111.62,2318.33,2879.63,3363.10,2738.59,3034.10,3415.24,2940.82,3081.14,3417.26
el Carmel,Barri,1768.29,1283.11,1384.01,1910.77,1505.39,1936.38,2125.40,2087.37,2239.51,2213.26,2250.41,2238.10,2485.16
la Teixonera,Barri,1730.67,1392.19,1441.47,1605.24,1690.25,2019.93,2221.84,2668.49,2308.32,2298.85,2619.92,2420.19,2660.22
Sant Genis dels Agudells,Barri,2165.92,1544.17,1306.60,2020.61,1795.74,1988.39,2040.78,1963.11,1855.31,2257.40,2355.93,2112.85,3035.15
Montbau,Barri,1919,1470,1597.96,1973.74,1847,2182.11,2357.29,2470.47,2492.91,2428.67,2512.18,2455.47,2752.92
la Vall d Hebron,Barri,2222.79,2223,2075.69,2502,2185.83,3113.76,3336.92,2822.26,3113,3442.85,3227.22,3404.30,3254.81
la Clota,Barri,,,872.87,1709.29,758.47,,,,,,,,3454.73
Horta,Barri,2157.48,1760.45,1744.97,1910.31,2076.84,2378.85,2655.14,2732.51,2688.88,2678.20,2802.95,2920.80,3320.71
Nou Barris,Districte,1667.79,1535.58,1398.11,1759.36,1621.14,1916.49,2174.43,2190.88,2098.32,2072.80,2478.16,2352.94,2468.08
Vilapicina i la Torre Llobeta,Barri,1816.87,1621.38,1639.98,1884.82,2047.48,2459.72,2647.28,2772.84,2636.52,2843.18,2830.71,2969.36,3275.51
Porta,Barri,1837.73,1825.88,1690.73,1942.38,1994.70,2383.03,2503.98,2620.79,2502.95,2697.23,2770.21,2564.41,2788.83
el Turo de la Peira,Barri,1388.46,1513.08,1340.14,1941.16,1493.80,1811.90,2142.77,2105.61,1966.27,2097.37,2313.94,2488.58,2406.38
Can Peguera,Barri,,,,,,1715.83,,2064.40,,,2264,2832.33,
la Guineueta,Barri,1985.72,1648.70,1760.36,1756.01,1834.15,2140.66,2360.95,2398.44,2242.54,2364.07,2680.56,2421.75,2613.42
Canyelles,Barri,1484.06,1513.13,1186.24,1531.74,1584.10,1686.23,1952.79,1860.73,2002.16,1988.82,2126.57,2234.19,2454.33
les Roquetes,Barri,1415.69,1301.21,1126.07,1485.97,1278.39,1507.36,1889.22,1918.68,1842.86,1845.29,2157.07,1959.32,2145.37
Verdun,Barri,1585.86,1440.15,1367.57,1832.10,1552.15,1815.90,2220.53,2066.73,2088.57,2061.28,2370.03,2185,2402.81
la Prosperitat,Barri,1884.98,1688.35,1477.40,1878.76,1765.41,2032.54,2336.61,2362.88,2223.86,2295.90,2656.79,2441.06,2575.01
la Trinitat Nova,Barri,1227.58,1208.88,950.76,1403.03,1218.67,1502.83,1673.18,1800.05,1728.67,1757.04,2052.21,2210.73,2117.73
Torre Baro,Barri,1990.73,,,,,1103.67,797,,1018,830.02,1324.75,1124.60,1313.13
Ciutat Meridiana,Barri,1243.33,957.29,689.57,1482.05,930.03,1139.43,1516.79,1485.78,1528.88,1603.77,2364.32,1930.27,1644.55
Vallbona,Barri,,,,1929.40,1021.56,1120.17,1119,,1194.80,,1331,1115.17,
Sant Andreu,Districte,2151.00,1755.83,1823.08,1990.36,1994.00,2419.23,2626.14,2717.25,2670.73,2746.76,2905.20,2809.74,2961.37
la Trinitat Vella,Barri,1336.78,1120,1039.54,1658.26,1112.13,1542.12,1661.79,1703.43,1430.05,1509.02,2236.97,1815.32,2080.15
Baro de Viver,Barri,,613.20,438.50,634.31,660.86,1124.35,1121.80,1438.29,1459.33,1412.40,1436.17,1710.75,1643.94
el Bon Pastor,Barri,1556.74,1592.70,1540.22,1619.74,1538.65,1931.75,2150.70,2175.02,2134.12,2080.99,2351.82,2180.41,2317.25
Sant Andreu,Barri,2364.75,1828.75,1940.34,2023.96,2381.87,2693.25,2895.27,2906.89,2984.35,3049.72,3163.33,3084.81,3277.69
la Sagrera,Barri,2337.94,1806.55,2042.57,2173.23,2180.55,2531.84,2793.34,3009.46,2949.39,2897.66,3053.36,3304.12,3193.05
el Congres i els Indians,Barri,2005.26,1768.52,1551.91,1919.10,2069.77,2341.02,2668.89,2712.10,2739.47,2784.86,2997.21,2675.22,3072.20
Navas,Barri,2061.63,1877.98,1798.61,2201.83,1777.23,2618.31,2864.85,2948.99,2895.82,3011.44,3059.22,3081.91,3370.53
Sant Marti,Districte,2431.74,2122.19,2168.54,2480.66,2458.14,3001.09,3070.03,3029.05,3040.11,3096.09,3493.80,3378.45,3598.08
el Camp de l Arpa del Clot,Barri,2340.89,1985.14,2006.01,2314.66,2502.09,3106.18,3377.92,3286.86,3251.45,3182.46,3409.44,3538.29,3614.33
el Clot,Barri,2223.13,1869.13,1985.16,2145.04,2443.04,2955.39,2964.37,3167.66,3235.30,3162.73,3618.60,3395.43,3561.05
el Parc i la Llacuna del Poblenou,Barri,2425.78,2120.55,2070.76,2785.36,2746.70,3394.54,3683.10,3673.90,3536.10,3751.56,4123.83,4053.21,4364.51
la Vila Olimpica del Poblenou,Barri,3438.27,3011.40,2986.34,3296.34,3782.13,4430.04,4404.96,3364.97,4428.06,4180.47,4550.80,4924.73,4951.29
el Poblenou,Barri,2648.84,2492.72,2550.99,2717.55,2924.23,3620.13,3768.42,3754.95,3862.78,3940.33,4387.01,4052.49,4585.12
Diagonal Mar i el Front Maritim del Poblenou,Barri,4411.21,4182.38,2970.68,5118.35,4210.76,5241.33,4748.45,4261.27,4490.72,3889.19,5214.24,5066.13,5362.66
el Besos i el Maresme,Barri,1573.42,1363.01,1212.03,1743.15,1554.63,1824.91,2004.26,2034.82,2033.33,2331.19,2735.28,2418.33,2535.45
Provencals del Poblenou,Barri,2319.18,1604.56,1756.13,2091.37,2266.33,2876.21,3004.74,2940.28,2852.16,2864.59,3205.60,3209.31,3435.45
Sant Marti de Provencals,Barri,1858.60,1523.49,1543.70,1908.66,1988.13,2224.92,2442.11,2481.02,2516.09,2603.21,2694.65,2661.88,2914.58
la Verneda i la Pau,Barri,1658.51,1449.99,1522.60,1842.44,1733.46,2027.57,2115.50,2278.00,2202.11,2201.93,2353.83,2290.78,2407.41
